,title,release_date,critic_score,user_score,genres
70,Star Wars Ep. II: Attack of the Clones,"May 16, 2002",54,6.0,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
71,Pirates of the Caribbean: At Worldâs End,"May 25, 2007",50,6.3,"['Action', 'Adventure', 'Fantasy']"
72,Star Wars Ep. VI: Return of the Jedi,"May 25, 1983",58,8.3,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy']"
73,Independence Day,"July 3, 1996",59,6.9,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
74,Pirates of the Caribbean: The Curse of the Black Pearl,"July 9, 2003",63,8.8,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Family']"
75,Skyfall,"November 9, 2012",81,7.7,"['Action', 'Adventure', 'Thriller', 'Crime']"
76,The Hobbit: An Unexpected Journey,"December 14, 2012",58,8.0,"['Adventure', 'Fantasy']"
77,Harry Potter and the Half-Blood Prince,"July 15, 2009",78,7.2,"['Action', 'Adventure', 'Mystery', 'Fantasy', 'Romance', 'Family']"
78,The Twilight Saga: Eclipse,"June 30, 2010",58,5.1,"['Sci-Fi', 'Drama', 'Thriller', 'Fantasy', 'Romance']"
79,The Twilight Saga: New Moon,"November 20, 2009",44,4.1,"['Drama', 'Fantasy', 'Romance']"
80,Harry Potter and the Deathly Hallows: Part I,"November 19, 2010",65,7.6,"['Action', 'Adventure', 'Mystery', 'Fantasy']"
81,Aquaman,"December 21, 2018",55,7.3,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
82,The Sixth Sense,"August 6, 1999",64,8.9,"['Drama', 'Mystery', 'Thriller']"
83,Up,"May 29, 2009",88,8.8,"['Adventure', 'Drama', 'Comedy', 'Animation', 'Family']"
84,Inception,"July 16, 2010",74,8.8,"['Action', 'Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
85,"The Twilight Saga: Breaking Dawn, Part 2","November 16, 2012",52,4.8,"['Adventure', 'Drama', 'Thriller', 'Fantasy', 'Romance']"
86,Harry Potter and the Order of the Phoenix,"July 11, 2007",71,7.3,"['Adventure', 'Mystery', 'Fantasy', 'Family']"
87,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","December 9, 2005",75,5.8,"['Adventure', 'Fantasy', 'Family']"
88,Man of Steel,"June 14, 2013",55,7.5,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
89,Star Wars Ep. V: The Empire Strikes Back,"May 21, 1980",82,9.0,"['Action', 'Adventure', 'Sci-Fi']"
90,Harry Potter and the Goblet of Fire,"November 18, 2005",81,7.8,"['Adventure', 'Mystery', 'Fantasy', 'Family']"
91,"Monsters, Inc.","November 2, 2001",78,8.7,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
92,Home Alone,"November 16, 1990",63,8.7,"['Comedy', 'Crime', 'Family']"
93,The Hunger Games: Mockingjay - Part 2,"November 20, 2015",65,6.7,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Thriller', 'War']"
94,The Matrix Reloaded,"May 15, 2003",62,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
95,"The Twilight Saga: Breaking Dawn, Part 1","November 18, 2011",45,4.6,"['Drama', 'Thriller', 'Fantasy', 'Romance']"
96,Meet the Fockers,"December 22, 2004",41,7.0,"['Comedy', 'Romance']"
97,The Hangover,"June 5, 2009",73,7.8,"['Comedy', 'Crime']"
98,Gravity,"October 4, 2013",96,7.8,"['Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
99,Sing,"December 21, 2016",59,6.2,"['Drama', 'Comedy', 'Music', 'Animation', 'Family', 'Musical']"
