,cretic(%),cretic_count,cretic_fresh,cretic_rate,cretic_rot,user(%),user_number,user_rate,name,url
58,73,91,66,7.3/10,25,95,"1,243,857",4.1/5,Forrest Gump,https://www.rottentomatoes.com/m/forrest_gump
61,83,358,297,7.1/10,61,85,"29,493",4.1/5,Deadpool 2,https://www.rottentomatoes.com/m/deadpool_2
62,41,209,86,5.5/10,123,52,"2,218,529",3.4/5,Shrek the Third,https://www.rottentomatoes.com/m/shrek_the_third
64,93,274,256,7.7/10,18,91,"1,080,178",4.2/5,Iron Man,https://www.rottentomatoes.com/m/iron_man
66,78,268,208,6.9/10,60,53,"1,320,350",3.3/5,Indiana Jones and the Kingdom of the Crystal Skull,https://www.rottentomatoes.com/m/indiana_jones_and_the_kingdom_of_the_crystal_skull
67,91,228,208,8.2/10,20,95,"1,355,431",4.1/5,The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring
68,92,370,341,7.5/10,29,87,"90,776",4.2/5,Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok
69,73,286,209,6.5/10,77,71,"479,041",3.7/5,Iron Man 2,https://www.rottentomatoes.com/m/iron_man_2
70,65,248,162,6.6/10,86,56,"851,470",3.3/5,Star Wars Ep. II: Attack of the Clones,https://www.rottentomatoes.com/m/star_wars_episode_ii_attack_of_the_clones
72,81,88,71,7.2/10,17,94,"1,010,844",4.1/5,Star Wars Ep. VI: Return of the Jedi,https://www.rottentomatoes.com/m/star_wars_episode_vi_return_of_the_jedi
75,92,362,333,8.2/10,29,86,"373,233",4.1/5,Skyfall,https://www.rottentomatoes.com/m/skyfall
76,65,289,187,6.5/10,102,83,"482,566",4.1/5,The Hobbit: An Unexpected Journey,https://www.rottentomatoes.com/m/the_hobbit_an_unexpected_journey
78,48,241,116,5.4/10,125,60,"334,002",3.6/5,The Twilight Saga: Eclipse,https://www.rottentomatoes.com/m/the_twilight_saga_eclipse
79,28,225,63,4.7/10,162,60,"578,226",3.6/5,The Twilight Saga: New Moon,https://www.rottentomatoes.com/m/the_twilight_saga_new_moon
80,78,270,210,7.1/10,60,85,"351,028",4.1/5,Harry Potter and the Deathly Hallows: Part I,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_i
82,98,290,283,8.7/10,7,90,"1,203,115",3.8/5,Up,https://www.rottentomatoes.com/m/up
83,64,317,204,6/10,113,79,"26,568",4/5,Aquaman,https://www.rottentomatoes.com/m/aquaman
84,86,344,297,8.1/10,47,91,"569,017",4.2/5,Inception,https://www.rottentomatoes.com/m/inception
85,49,189,92,5.2/10,97,70,"293,020",3.8/5,"The Twilight Saga: Breaking Dawn, Part 2",https://www.rottentomatoes.com/m/the_twilight_saga_breaking_dawn_part_2
86,77,247,191,6.9/10,56,81,"2,332,612",3.9/5,Harry Potter and the Order of the Phoenix,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix
90,88,249,219,7.5/10,30,74,"34,153,241",3.4/5,Harry Potter and the Goblet of Fire,https://www.rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire
91,96,193,185,8/10,8,90,"1,254,492",3.8/5,"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc
92,64,53,34,5.6/10,19,79,"1,026,110",3.3/5,Home Alone,https://www.rottentomatoes.com/m/home_alone
93,70,273,192,6.5/10,81,66,"200,837",3.6/5,The Hunger Games: Mockingjay - Part 2,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_2
94,73,245,179,6.8/10,66,72,"942,148",3.4/5,The Matrix Reloaded,https://www.rottentomatoes.com/m/the_matrix_reloaded
95,25,202,50,4.4/10,152,60,"186,575",3.5/5,"The Twilight Saga: Breaking Dawn, Part 1",https://www.rottentomatoes.com/m/the_twilight_saga_breaking_dawn_part_1
96,39,160,62,5.2/10,98,58,"33,181,852",3.5/5,Meet the Fockers,https://www.rottentomatoes.com/m/meet_the_fockers
97,78,235,184,6.8/10,51,84,"942,727",4/5,The Hangover,https://www.rottentomatoes.com/m/the_hangover
99,43,7,3,5.1/10,4,90,"1,277",4.1/5,Sing,https://www.rottentomatoes.com/m/sing
